"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","TMAX","TMIN","WT01","WT03","WT04","WT05","WT06","WT11"
"USC00141404","38.1937","-95.0724","289.6","2000-01-01","0.00","0.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-01-02","0.00","0.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-01-03","0.00","0.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-01-04","0.14","0.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-01-05","0.00","0.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-01-06","0.00","0.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-01-07","0.00","0.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-01-08","0.00","0.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-01-09","0.00","0.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-01-10","0.00","0.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-01-11","0.00","0.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-01-12","0.00","0.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-01-13","0.00","0.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-01-14","0.00","0.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-01-15","0.00","0.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-01-16","0.00","0.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-01-17","0.00","0.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-01-18","0.00","0.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-01-19","0.00","0.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-01-20","0.00","0.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-01-21","0.00","0.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-01-22","0.00","0.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-01-23","0.00","0.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-01-24","0.03","1.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-01-25","0.00","0.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-01-26","0.00","0.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-01-27","0.00","0.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-01-28","0.09","1.4",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-01-29","0.06","1.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-01-30","0.00","0.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-01-31","0.00","0.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-02-01","0.00","0.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-02-02","0.00","0.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-02-03","0.00","0.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-02-04","0.00","0.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-02-05","0.00","0.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-02-06","0.00","0.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-02-07","0.00","0.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-02-08","0.00","0.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-02-09","0.00","0.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-02-10","0.00","0.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-02-11","0.00","0.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-02-12","0.00","0.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-02-13","0.00","0.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-02-14","0.00","0.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-02-15","0.00","0.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-02-16","0.00","0.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-02-17","0.00","0.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-02-18","1.45","0.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-02-19","0.00","0.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-02-20","0.00","0.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-02-21","0.00","0.0",,,,,,,,
"USC00141404","38.1937","-95.0724","289.6","2000-02-22","0.00","0.0",,,,,,,,
